task_code,project_code,engagement_type,client_alias,project_name,assignee_alias,assignee_role,priority,status,due_date,is_overdue,dependency,title,detail,last_progress
PRJ-01-T01,PRJ-01,Proyecto,Atlas Foods,Global Contract Management,Daniel Rojas,Commercial / Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Global Contract Management,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-01-T02,PRJ-01,Proyecto,Atlas Foods,Global Contract Management,Daniel Rojas,Commercial / Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Global Contract Management,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-01-T03,PRJ-01,Proyecto,Atlas Foods,Global Contract Management,Daniel Rojas,Commercial / Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Global Contract Management,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-01-T04,PRJ-01,Proyecto,Atlas Foods,Global Contract Management,Daniel Rojas,Commercial / Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Global Contract Management,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-02-T01,PRJ-02,Mantenimiento o recurrente,Astera Ops,Observability Hub,Daniel Rojas,Commercial / Delivery,Media,En progreso,2026-07-14,No,,Weekly KPI and quality monitoring - Observability Hub,"Weekly review of volume, response time and out-of-range events.","Weekly review of volume, response time and out-of-range events."
PRJ-02-T02,PRJ-02,Mantenimiento o recurrente,Astera Ops,Observability Hub,Daniel Rojas,Commercial / Delivery,Alta,Por hacer,2026-07-11,Si,Weekly KPI and quality monitoring,Adjust the rule or automation causing most friction - Observability Hub,One automation is creating manual errors or rework and needs tuning.,One automation is creating manual errors or rework and needs tuning.
PRJ-02-T03,PRJ-02,Mantenimiento o recurrente,Astera Ops,Observability Hub,Daniel Rojas,Commercial / Delivery,Baja,En revision,2026-07-18,No,Weekly KPI and quality monitoring,Review historical backlog and clean stale tasks - Observability Hub,"Old, duplicate or unclear tasks still need cleanup.","Old, duplicate or unclear tasks still need cleanup."
PRJ-02-T04,PRJ-02,Mantenimiento o recurrente,Astera Ops,Observability Hub,Daniel Rojas,Commercial / Delivery,Alta,Bloqueada,2026-07-09,Si,Adjust the rule or automation causing most friction,Unblock recurrent service dependency - Observability Hub,A recurrent technical or operational dependency is hurting stability or improvements.,A recurrent technical or operational dependency is hurting stability or improvements.
PRJ-03-T01,PRJ-03,Mantenimiento o recurrente,Lunara Health,Patient Care Assistant,Camila Torres,Delivery,Media,En progreso,2026-07-14,No,,Weekly KPI and quality monitoring - Patient Care Assistant,"Weekly review of volume, response time and out-of-range events.","Weekly review of volume, response time and out-of-range events."
PRJ-03-T02,PRJ-03,Mantenimiento o recurrente,Lunara Health,Patient Care Assistant,Camila Torres,Delivery,Alta,Por hacer,2026-07-11,Si,Weekly KPI and quality monitoring,Adjust the rule or automation causing most friction - Patient Care Assistant,One automation is creating manual errors or rework and needs tuning.,One automation is creating manual errors or rework and needs tuning.
PRJ-03-T03,PRJ-03,Mantenimiento o recurrente,Lunara Health,Patient Care Assistant,Camila Torres,Delivery,Baja,En revision,2026-07-18,No,Weekly KPI and quality monitoring,Review historical backlog and clean stale tasks - Patient Care Assistant,"Old, duplicate or unclear tasks still need cleanup.","Old, duplicate or unclear tasks still need cleanup."
PRJ-03-T04,PRJ-03,Mantenimiento o recurrente,Lunara Health,Patient Care Assistant,Camila Torres,Delivery,Alta,Bloqueada,2026-07-09,Si,Adjust the rule or automation causing most friction,Unblock recurrent service dependency - Patient Care Assistant,A recurrent technical or operational dependency is hurting stability or improvements.,A recurrent technical or operational dependency is hurting stability or improvements.
PRJ-04-T01,PRJ-04,Proyecto,Pioneer Insurance,Quotation Engine,Camila Torres,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Quotation Engine,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-04-T02,PRJ-04,Proyecto,Pioneer Insurance,Quotation Engine,Camila Torres,Delivery,Critica,Por hacer,2026-07-10,Si,Align external dependency with client or vendor,Resolve priority issue in pilot or production - Quotation Engine,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-04-T03,PRJ-04,Proyecto,Pioneer Insurance,Quotation Engine,Camila Torres,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Quotation Engine,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
PRJ-04-T04,PRJ-04,Proyecto,Pioneer Insurance,Quotation Engine,Camila Torres,Delivery,Alta,En revision,2026-07-16,No,Plan next delivery iteration,Functional validation and release checklist - Quotation Engine,"Core build exists, but edge cases still need validation before closing the front.","Core build exists, but edge cases still need validation before closing the front."
PRJ-05-T01,PRJ-05,Mantenimiento o recurrente,Orion Mobility,Multi-Brand Sales Assistant,Laura Gomez,Delivery,Media,En progreso,2026-07-14,No,,Weekly KPI and quality monitoring - Multi-Brand Sales Assistant,"Weekly review of volume, response time and out-of-range events.","Weekly review of volume, response time and out-of-range events."
PRJ-05-T02,PRJ-05,Mantenimiento o recurrente,Orion Mobility,Multi-Brand Sales Assistant,Laura Gomez,Delivery,Alta,Por hacer,2026-07-11,Si,Weekly KPI and quality monitoring,Adjust the rule or automation causing most friction - Multi-Brand Sales Assistant,One automation is creating manual errors or rework and needs tuning.,One automation is creating manual errors or rework and needs tuning.
PRJ-05-T03,PRJ-05,Mantenimiento o recurrente,Orion Mobility,Multi-Brand Sales Assistant,Laura Gomez,Delivery,Baja,En revision,2026-07-18,No,Weekly KPI and quality monitoring,Review historical backlog and clean stale tasks - Multi-Brand Sales Assistant,"Old, duplicate or unclear tasks still need cleanup.","Old, duplicate or unclear tasks still need cleanup."
PRJ-05-T04,PRJ-05,Mantenimiento o recurrente,Orion Mobility,Multi-Brand Sales Assistant,Laura Gomez,Delivery,Alta,Bloqueada,2026-07-09,Si,Adjust the rule or automation causing most friction,Unblock recurrent service dependency - Multi-Brand Sales Assistant,A recurrent technical or operational dependency is hurting stability or improvements.,A recurrent technical or operational dependency is hurting stability or improvements.
PRJ-06-T01,PRJ-06,Mantenimiento o recurrente,Nova Recovery,Recovery and Compensation Ops,Laura Gomez,Delivery,Media,En progreso,2026-07-14,No,,Weekly KPI and quality monitoring - Recovery and Compensation Ops,"Weekly review of volume, response time and out-of-range events.","Weekly review of volume, response time and out-of-range events."
PRJ-06-T02,PRJ-06,Mantenimiento o recurrente,Nova Recovery,Recovery and Compensation Ops,Laura Gomez,Delivery,Alta,Por hacer,2026-07-11,Si,Weekly KPI and quality monitoring,Adjust the rule or automation causing most friction - Recovery and Compensation Ops,One automation is creating manual errors or rework and needs tuning.,One automation is creating manual errors or rework and needs tuning.
PRJ-06-T03,PRJ-06,Mantenimiento o recurrente,Nova Recovery,Recovery and Compensation Ops,Laura Gomez,Delivery,Baja,En revision,2026-07-18,No,Weekly KPI and quality monitoring,Review historical backlog and clean stale tasks - Recovery and Compensation Ops,"Old, duplicate or unclear tasks still need cleanup.","Old, duplicate or unclear tasks still need cleanup."
PRJ-06-T04,PRJ-06,Mantenimiento o recurrente,Nova Recovery,Recovery and Compensation Ops,Laura Gomez,Delivery,Alta,Bloqueada,2026-07-09,Si,Adjust the rule or automation causing most friction,Unblock recurrent service dependency - Recovery and Compensation Ops,A recurrent technical or operational dependency is hurting stability or improvements.,A recurrent technical or operational dependency is hurting stability or improvements.
PRJ-07-T01,PRJ-07,Proyecto,Velora Credit,Credit Assistant,Camila Torres,Delivery,Alta,En progreso,2026-07-12,Si,,Plan next delivery iteration - Credit Assistant,Next iteration is being scoped with deliverables and owners.,Next iteration is being scoped with deliverables and owners.
PRJ-07-T02,PRJ-07,Proyecto,Velora Credit,Credit Assistant,Camila Torres,Delivery,Critica,Por hacer,2026-07-10,Si,Functional validation and release checklist,Resolve priority issue in pilot or production - Credit Assistant,There is a user-visible issue affecting trust or adoption.,There is a user-visible issue affecting trust or adoption.
PRJ-07-T03,PRJ-07,Proyecto,Velora Credit,Credit Assistant,Camila Torres,Delivery,Media,Bloqueada,2026-07-14,No,Resolve priority issue in pilot or production,Align external dependency with client or vendor - Credit Assistant,"Waiting on client response, credentials, external API or business definition.","Waiting on client response, credentials, external API or business definition."
